time,NDVI,Temperature,NDVI_interpolated,Temperature_interpolated
1996-08-31,0.7760491927617894,-359.8429312072952,0.7760491927617894,-359.8429312072952
1996-09-30,0.6929326176795508,25.55504287189191,0.6929326176795508,25.555042871891885
1996-10-31,0.7454484081667537,-463.6281655971677,0.7454484081667537,-463.6281655971677
1996-11-30,,,0.7675817650663133,-448.4722742484523
1996-12-31,,,0.7878961689871942,-451.4967708886224
1997-01-31,,,0.7569874977352402,-432.5882526236043
1997-02-28,,,0.6769049101978473,-451.43422005136534
1997-03-31,,,0.6104739007927344,-411.08798652833445
1997-04-30,,,0.5924142793484515,-402.60465951646427
1997-05-31,,,0.6182940877943444,-292.12299833640736
1997-06-30,,,0.6865764554195549,-355.5962649700569
1997-07-31,0.7207723209105825,-348.9749782037222,0.7207723209105825,-348.9749782037222
1997-08-31,0.6361980346111922,-352.96239643454794,0.6361980346111922,-352.96239643454794
1997-09-30,,,0.6697059496718577,-393.23152953204635
1997-10-31,0.6767843724160064,-382.36796396599453,0.6767843724160064,-382.36796396599453
1997-11-30,,,0.6868819914735249,-373.29747096036067
1997-12-31,,,0.6861688653722812,-384.4427951437443
1998-01-31,0.665158808870951,-351.0554110766667,0.665158808870951,-351.0554110766667
1998-02-28,,,0.5348854900657554,-402.04304972902594
1998-03-31,0.44482823052939474,-359.22893998593975,0.44482823052939474,-359.22893998593975
1998-04-30,,,0.46076318526138726,-315.2674501305262
1998-05-31,0.5231988658498098,-357.7990824649226,0.5231988658498098,-357.7990824649226
1998-06-30,0.42507315804995416,-371.6741350430294,0.42507315804995416,-371.6741350430294
1998-07-31,,,0.5221657265094909,-291.27730833047053
1998-08-31,,,0.5503968437671402,-72.26784425140121
1998-09-30,0.6838555026866567,12.385385446666685,0.6838555026866567,12.385385446666675
1998-10-31,0.6735135016067251,35.16768856080647,0.6735135016067251,35.16768856080648
1998-11-30,0.7084920956024694,-472.31400782066055,0.7084920956024694,-472.31400782066055
1998-12-31,,,0.7360906377448607,-453.20785577215463
1999-01-31,,,0.7488753911454917,-489.6484508786833
1999-02-28,,,0.6756905221559762,-504.85390498784705
1999-03-31,,,0.6120789807289995,-489.08314719959554
1999-04-30,,,0.582384124639841,-480.88868008219134
1999-05-31,,,0.5390194764420558,-596.3035774634022
1999-06-30,,,0.6082040549624963,-632.0628382664061
1999-07-31,0.63296697739145,-637.6438913094244,0.63296697739145,-637.6438913094244
1999-08-31,,,0.5573734689481651,-550.2908569876026
1999-09-30,,,0.5543694416292841,-553.2427037219544
